一汽奥迪 奥迪Q3 2018款 30 TFSI 1.4T 双离合 两驱 风尚型典藏版前置前驱 4398*1841*1591 DCT 5门5座1.4T国IV(国V)
一汽奥迪 奥迪Q3 2018款 35 TFSI 2.0T 双离合 两驱 30周年纪念版  时尚型前置前驱 4398*1841*1591 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q3 2018款 30 TFSI 1.4T 双离合 两驱 30周年纪念版  风尚型前置前驱 4398*1841*1591 DCT 5门5座1.4T国IV(国V)
一汽奥迪 奥迪Q3 2018款 35 TFSI 2.0T 双离合 两驱 30周年纪念版  运动型前置前驱 4398*1841*1591 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q3 2018款 35 TFSI 2.0T 双离合 四驱 30周年纪念版  运动型前置四驱 4398*1841*1591 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q3 2018款 40 TFSI 2.0T 双离合 四驱 30周年纪念版  运动型前置四驱 4398*1841*1591 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q3 2017款 30 TFSI 1.4T 双离合 两驱 标准型前置前驱 4398*1841*1591 DCT 5门5座1.4T国IV(国V)
一汽奥迪 奥迪Q3 2017款 30 TFSI 1.4T 双离合 两驱 时尚型前置前驱 4398*1841*1591 DCT 5门5座1.4T国IV(国V)
一汽奥迪 奥迪Q3 2017款 35 TFSI 2.0T 双离合 两驱 时尚型前置前驱 4398*1841*1591 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q3 2017款 30 TFSI 1.4T 双离合 两驱 风尚型前置前驱 4398*1841*1591 DCT 5门5座1.4T国IV(国V)
一汽奥迪 奥迪Q3 2017款 30 TFSI 1.4T 双离合 两驱 运动型前置前驱 4398*1841*1591 DCT 5门5座1.4T国IV(国V)
一汽奥迪 奥迪Q3 2017款 35 TFSI 2.0T 双离合 两驱 运动型前置前驱 4398*1841*1591 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q3 2017款 35 TFSI 2.0T 双离合 两驱 风尚型前置前驱 4398*1841*1591 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q5 2010款 2.0 TFSI 双离合 四驱 进取型前置四驱 4629*1880*1653 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q5 2010款 2.0 TFSI 双离合 四驱 技术型前置四驱 4629*1880*1653 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q5 2010款 2.0 TFSI 双离合 四驱 舒适型前置四驱 4629*1880*1653 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q5 2010款 2.0 TFSI 双离合 四驱 豪华型前置四驱 4629*1880*1653 DCT 5门5座2.0T国IV(国V)
一汽奥迪 奥迪Q5 2018款 40 TFSI 2.0T 自动 四驱 典藏版 进取型前置四驱 4629*1898*1655 AMT 5门5座2.0T国V
